Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  940000   -6289.0671   -6305.7074    67.289795    1980.3695    1999.7548    37.297997    28112.094    28066.769    337.18936    2816.1653     31.90864    4613.9996    25.322064 
  945000   -6275.7143   -6305.5564    67.150115    2095.1824    1999.7848    37.312311    28135.738     28067.49    336.60786   -855.24166    32.680197    4621.4829    25.604405 
  950000   -6286.6233   -6305.4563    66.991744    1977.3815    1999.8006    37.297664    28123.788    28067.939    335.90688    2627.2941    34.223351    4623.8935    25.571116 
  955000   -6311.5802    -6305.347    66.839895    1954.1603    1999.8287    37.309592    28079.499    28068.445    335.42771   -676.23496    33.134346    4642.0027    25.689039 
  960000   -6274.6048    -6305.248    66.683584    2028.9703    1999.8191    37.283051    28138.446    28069.007     334.7432    1670.0011    30.745959    4641.5849    25.746491 
  965000   -6286.7749   -6305.2004    66.521216    2059.3092    1999.8549    37.260943    28143.157    28069.282    334.03876    -1116.684    32.182971    4646.1117    26.029755 
  970000    -6311.282   -6305.1496    66.359594    1981.1013    1999.8891    37.265431    28027.132     28069.49    333.38921    354.82196    32.189486    4648.0563    26.087325 
  975000   -6309.6354   -6305.0559    66.209678    1912.7817    1999.8872    37.271062    28165.877    28069.974    332.63407    285.63216    30.427958    4642.6391    26.401118 
  980000   -6310.4135   -6304.9565    66.061136    1927.7732    1999.8957    37.265347    28106.092    28070.471    332.06022    1146.0773    34.268903    4651.9383    26.616752 
  985000   -6299.1193   -6304.8916    65.906904    1995.1897    1999.9096    37.257317    28058.204    28070.803    331.46933    1055.6006    33.501716    4660.4303    26.684774 
  990000    -6289.038   -6304.8342    65.749324    2005.6325    1999.8948    37.247451    28164.124     28070.95    330.81705    -2427.894    34.044514    4672.1502    26.801343 
  995000   -6270.6339   -6304.7565    65.597035    2025.1839    1999.8756     37.22117    28210.789    28071.346    330.16669   -424.87855    31.023433    4677.6956    27.040567 
 1000000    -6288.381   -6304.6775    65.449735    2063.7316    1999.8908    37.213024    28129.284     28071.74    329.53092   -2409.8838    30.110306    4676.9086    27.196621 
 1005000   -6282.6757   -6304.5898    65.302225    2017.8344    1999.9245    37.207139    28141.993    28072.181    328.80897    1552.6519    29.656997    4669.9501    27.501066 
 1010000   -6280.2107   -6304.4606     65.17095     2028.225    1999.9619    37.211715    28166.912    28072.744    328.14951   -76.026936    30.391789    4665.6822    27.602578 
 1015000    -6278.012    -6304.421    65.020265    2065.9321    1999.9476    37.225608    28132.441    28072.877    327.56145   -385.73462    35.005386    4673.6295     27.70724 
 1020000   -6292.4554   -6304.3217     64.88488     1962.897    1999.9265    37.237064    28089.796    28073.508    327.02041    1883.3203    28.534335    4676.1288    27.913775 
 1025000   -6287.7881   -6304.2163    64.749651    1992.2476    1999.9247    37.244618    28110.962    28073.919    326.29602    1132.2925    27.985569    4667.3079    28.089911 
 1030000   -6272.3747   -6304.0242    64.655996    2031.0232     1999.942    37.232728    28126.972    28074.804    325.81222     3818.799    25.903236    4660.9795    28.395425 
 1035000   -6255.4094   -6303.8923     64.53232    2058.4878    1999.9151    37.218779    28192.786    28075.325    325.15716    1464.7017    30.076748    4661.3627    28.609289 
 1040000   -6301.7561   -6303.7664    64.411246    1988.2591    1999.8973     37.21664    28026.233    28075.981    324.67889    3954.2481    29.992556    4660.7305    28.482731 
 1045000   -6304.3673   -6303.6629    64.280972    1955.1409    1999.8742    37.189892      28171.4    28076.575    324.08906   -1653.3989    28.480123    4660.8348    28.803337 
 1050000   -6283.8908   -6303.5904    64.140479     1996.683    1999.8532    37.170255    28171.935    28077.037    323.40651    712.07226    27.538652    4652.8015    28.956582 
 1055000   -6251.3226   -6303.4474    64.028038    2050.2373    1999.8618    37.168666    28287.283    28077.767    322.81707   -578.53971    26.544735    4643.3057    29.176681 
