Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  570000   -7593.3175    -7596.036    1.6419953    306.62498    297.66408    5.3590837    24197.353    24197.353 0.0016194457    3077.8635    2964.6925     159.9733  0.037296625 
  575000   -7596.1104   -7595.7301    1.5571247    296.94289    299.67054    4.6134614    24197.353    24197.353 0.0016194457    2985.3836    2974.6336    279.70631  0.034534061 
  580000   -7595.7328   -7596.3034    1.5057344    297.24684    298.01611     5.834414    24197.353    24197.353 0.0016194457    3195.4048     2981.799    188.41195  0.035652357 
  585000   -7594.8271   -7594.0333    1.2341065     302.3071    303.59315    5.2483676    24197.353    24197.353 0.0016194457    3064.2308     3192.519    120.56575  0.037017376 
  590000   -7594.9127   -7596.3673    1.6050953    307.41084     299.8386     4.595969    24197.353    24197.353 0.0016194457    2972.9011    2888.1731    204.86292  0.036202159 
  595000   -7595.6321   -7594.7743    1.4412254    299.08251    300.02324    3.8227262    24197.353    24197.353 0.0016194457    2984.4791    3213.4809    218.84699  0.036659592 
  600000   -7593.2792   -7593.7254    1.7006674    311.13472     303.9042    6.9610837    24197.353    24197.353 0.0016194457    3027.5229    3295.7427    170.26954   0.03647177 
  605000   -7591.3232   -7594.3786     1.340541    311.24272     299.8738    4.8260967    24197.353    24197.353 0.0016194457    3404.2181    3212.3803    118.59118  0.036769714 
  610000   -7597.2014   -7594.9087    1.6635223    294.98543    301.47138    4.5902365    24197.353    24197.353 0.0016194457    2935.9407    3100.8531    201.17752  0.035276305 
  615000   -7594.3876   -7596.1443    1.1529814    303.27947    301.25589    3.6294422    24197.353    24197.353 0.0016194457    3288.5831    2951.2367    131.42162  0.034909538 
  620000   -7596.2526   -7594.5268    1.5083481    301.07078    303.33293    6.2233724    24197.353    24197.353 0.0016194457    2795.3584    3109.8683    190.10702   0.03514945 
  625000    -7594.798   -7595.9147    1.6622833    300.12547    297.68297    5.1762744    24197.353    24197.353 0.0016194457    3208.8361    2987.7037    263.88965   0.03599141 
  630000    -7597.893   -7596.4878    1.1647584    295.22618    299.59403    3.7166022    24197.353    24197.353 0.0016194457    2774.8102    2822.5465    78.358543  0.036615073 
  635000   -7596.8005    -7595.465    1.3480247    292.70049    299.22077    4.8179588    24197.353    24197.353 0.0016194457    3184.9495    3164.6504    185.43875  0.036227367 
  640000   -7595.2338   -7596.0307    1.5731984    297.08648    301.43892    4.9850432    24197.353    24197.353 0.0016194457    3230.2356    2811.0472    147.70171   0.03642783 
  645000   -7595.8065   -7594.5565    1.1638491    294.16231    297.84027    4.9642057    24197.353    24197.353 0.0016194457    3429.2102    3465.5753    152.83675  0.037525563 
  650000   -7594.9478   -7595.1619    1.4203058    297.28789    299.02081    5.8382889    24197.353    24197.353 0.0016194457    3282.4265    3121.6255    110.25578  0.035958254 
