Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  515000   -7603.3213   -7605.1187    2.0056839    297.73434    298.59766    6.5987129    24124.542    24124.542 0.00034526698    6559.0904    6102.0033    239.09673  0.034257928 
  520000   -7605.3001   -7603.1333    2.2503489    301.93826    299.67842    5.6027484    24124.542    24124.542 0.00034526698    5975.8001    6581.2435     348.9837   0.03427593 
  525000    -7603.762   -7603.4958    1.1048536    307.08392    298.42606      4.86654    24124.542    24124.542 0.00034526698    6015.9543    6425.0726    175.54026  0.033384398 
  530000   -7603.0389   -7601.9978    1.5342408     294.1107     300.7483    5.3779057    24124.542    24124.542 0.00034526698    6818.9992    6780.1427     169.9524  0.034841699 
  535000   -7604.9336   -7604.0724    1.2902923    294.52804    297.98609    4.7426122    24124.542    24124.542 0.00034526698    6376.2692    6455.8365    134.71247  0.033794946 
  540000    -7600.015   -7602.8677    2.4338558     303.6637    300.91076    5.1376485    24124.542    24124.542 0.00034526698    6981.5927    6527.8275    317.13472  0.035401271 
  545000   -7601.4689   -7600.4925    1.3820866    297.02411    300.77924    5.3769868    24124.542    24124.542 0.00034526698    6885.9823      6968.29    80.400623  0.036220575 
  550000   -7601.1724   -7602.8914    1.5969771    302.58717    302.16128    4.9124179    24124.542    24124.542 0.00034526698    6894.4678    6533.6243    200.87453  0.035905033 
  555000   -7604.2694   -7602.8179    1.4179495    294.24479     298.4761    5.7197269    24124.542    24124.542 0.00034526698    6572.8934    6639.6069    97.019504  0.035665681 
  560000   -7605.1213   -7602.6164    1.4852715    295.60572    297.96593    4.6859909    24124.542    24124.542 0.00034526698    6286.6056    6721.8909    229.71965  0.033842318 
  565000   -7600.0918   -7601.0369    1.5728117    301.74742    299.24069    4.8382174    24124.542    24124.542 0.00034526698    7088.2886    7022.1282    184.75451    0.0362375 
  570000   -7601.8252   -7603.4625     1.381298    303.62351    300.24989    4.4072806    24124.542    24124.542 0.00034526698    6593.9536     6465.596    145.60597   0.03663424 
  575000   -7603.6934   -7602.6034    1.1650665    298.05472    303.36254    4.8188925    24124.542    24124.542 0.00034526698    6428.7125    6433.5422    157.16912  0.034965479 
  580000   -7603.5615   -7602.7995    1.4511385    293.15384    301.02079     4.531957    24124.542    24124.542 0.00034526698    6654.0934    6513.9238    129.09067  0.034915963 
  585000   -7602.9589   -7602.1661    1.2487672    297.07644     300.5198    3.3585572    24124.542    24124.542 0.00034526698    6608.9729    6694.4679    188.71787  0.036702748 
  590000   -7601.2509   -7603.0404    2.1186949    293.26419    297.28716    6.4471729    24124.542    24124.542 0.00034526698    7342.6561    6675.3586    387.41832    0.0356358 
  595000   -7604.7431   -7602.7766    1.3226458    291.56262    299.64822     5.936756    24124.542    24124.542 0.00034526698    6542.5067    6573.3203    141.56618  0.035869116 
  600000   -7602.8482   -7601.4984    1.8521384    299.41044    301.23847    5.0416902    24124.542    24124.542 0.00034526698    6571.6541    6801.7628    298.89945  0.034407255 
  605000   -7602.6414   -7603.1391    1.4722613    303.70028    299.90483    4.7976032    24124.542    24124.542 0.00034526698    6341.3193    6454.1072    244.46866  0.035035354 
  610000   -7603.2327   -7603.8233    1.3438157    297.90789     297.9137    4.0121535    24124.542    24124.542 0.00034526698    6556.0937    6445.3175    181.36456  0.034243998 
  615000    -7603.115   -7602.7765    1.2371452    297.51008    298.13566     5.172197    24124.542    24124.542 0.00034526698      6605.39    6636.7733    161.02226  0.035019541 
  620000   -7601.1162   -7602.6829   0.97946453    304.61497    300.34191    3.7132873    24124.542    24124.542 0.00034526698    6563.9801    6402.0128    129.41184   0.03478285 
  625000   -7600.8053   -7602.1954    1.5495233    308.72339    301.15251     4.760247    24124.542    24124.542 0.00034526698    6603.8609    6644.8482    193.47033  0.034406218 
  630000   -7603.8618   -7602.7451     1.187704    293.16306    297.10996    4.3772107    24124.542    24124.542 0.00034526698    6606.4793    6592.1599    181.39645  0.034843405 
  635000    -7600.038   -7602.2233    1.5201425    304.93604    299.46819    5.2869582    24124.542    24124.542 0.00034526698    6969.5355    6763.9149     149.4449  0.035501788 
  640000   -7600.1632   -7601.7074    1.7098572    304.02129    301.32706    5.9818998    24124.542    24124.542 0.00034526698    6956.3849    6800.1742    165.97352  0.035065692 
  645000   -7604.9526   -7602.9133    1.6533651    295.15088    299.26227    5.2452497    24124.542    24124.542 0.00034526698    6269.9499    6604.2585     173.7162  0.034931115 
  650000   -7602.5279   -7601.6757    1.3064893    297.60304    301.05294     4.897879    24124.542    24124.542 0.00034526698    6809.3452    6811.8066     86.47754  0.036593453 
  655000   -7602.6602   -7601.8145     1.459597    302.89833    299.09512    5.9430539    24124.542    24124.542 0.00034526698    6475.6342    6825.8938    227.36928  0.036111443 
  660000   -7602.9559   -7602.1352    1.7552142    298.18169    299.24097     6.193965    24124.542    24124.542 0.00034526698    6589.5196    6734.5036    273.27556  0.037666762 
  665000   -7601.6281   -7600.6065    1.4497286    295.20501    300.91141    5.8715852    24124.542    24124.542 0.00034526698    6959.8227      6985.34    155.48141  0.037235278 
  670000   -7602.4223   -7602.4887    1.9824734    296.80592    299.17501    4.2054494    24124.542    24124.542 0.00034526698    6715.6702      6690.49    419.26304  0.038249737 
  675000   -7599.3205   -7602.6325    1.7128752    310.08846    299.83729    5.2315915    24124.542    24124.542 0.00034526698    6851.3207     6610.769    157.89952  0.038575797 
  680000   -7603.3474   -7602.1883    1.2916915    294.70964    298.50035    5.0069714    24124.542    24124.542 0.00034526698    6674.0696    6744.7117     101.5158  0.037425012 
  685000   -7605.2853   -7603.7382    1.7077412    291.31495    299.43216    5.0207316    24124.542    24124.542 0.00034526698    6506.9426    6491.9043     190.5931  0.036094359 
  690000   -7598.1845   -7601.8281    1.8304721    314.68943    300.70314    5.1190283    24124.542    24124.542 0.00034526698    6881.2549    6780.9767    206.87947  0.035699282 
  695000   -7601.6757   -7601.0913    1.4734205    302.22126    300.56214    4.8760125    24124.542    24124.542 0.00034526698    6717.0471    6906.0914    167.33747  0.035735245 
  700000   -7600.8787   -7601.9562    1.9484497    307.30231    300.72946    6.9303552    24124.542    24124.542 0.00034526698    6642.5371    6648.6187    127.35335    0.0352178 
  705000   -7601.1143   -7602.3677    1.2209775    306.14133    302.75111    5.0737558    24124.542    24124.542 0.00034526698    6615.7486    6554.2713    129.97769  0.034134944 
  710000   -7603.9921   -7603.9197   0.99365285    298.78098    298.50796     4.223926    24124.542    24124.542 0.00034526698    6328.7588    6418.4346    87.135056  0.034081782 
  715000   -7602.1566   -7603.1488    1.6375674    309.73289    302.49998    5.3928669    24124.542    24124.542 0.00034526698    6278.6964    6414.8929    166.11376   0.03419291 
  720000   -7602.5348   -7602.6769     1.804822    296.31589    299.63871     6.818261    24124.542    24124.542 0.00034526698     6784.475    6616.8299    127.04022  0.036001272 
  725000   -7599.8274   -7600.5366    1.7118973    302.27464    301.75308    5.7196973    24124.542    24124.542 0.00034526698    7080.2888    6969.3733    182.00949  0.036589264 
  730000   -7598.3734   -7600.8819    1.7387859    306.66996    300.88648    5.0938155    24124.542    24124.542 0.00034526698    7305.4355    7016.7214    235.16615   0.03823148 
  735000   -7605.1109   -7602.4391     1.653423    294.99499     300.4889    5.1050048    24124.542    24124.542 0.00034526698    6303.3401    6572.6611    273.85793  0.036681911 
  740000   -7602.7313   -7603.2813    1.6935485    295.58027    297.60438    6.3178015    24124.542    24124.542 0.00034526698    6709.8483    6495.6044    248.97214  0.036109076 
  745000   -7603.6317   -7601.1805    1.3983645    294.23058    300.59024    5.8515379    24124.542    24124.542 0.00034526698    6709.5992    6913.2553    120.89467  0.034966198 
  750000   -7602.0894   -7601.2207    1.4684041    302.23261    300.72495    4.6608379    24124.542    24124.542 0.00034526698     6640.598    6893.0866    139.41089  0.035503443 
  755000   -7601.8852   -7602.8284    1.4017222    299.11535    298.64611    3.8996006    24124.542    24124.542 0.00034526698     6719.506    6618.6855    153.23159  0.035373454 
  760000   -7604.7902   -7599.7547    2.2609811    289.79283    301.31917     4.683203    24124.542    24124.542 0.00034526698    6533.5695    7136.5731    415.77802  0.035489977 
  765000   -7603.9945   -7601.9172    1.5308575    296.67265    303.88167    6.0229165    24124.542    24124.542 0.00034526698    6512.6301    6687.2968    182.89616  0.035760822 
  770000   -7601.3108   -7601.6376    1.1743901    301.50252    301.18869     3.767965    24124.542    24124.542 0.00034526698     6839.927    6776.2972    121.25901  0.036098206 
  775000   -7604.4682     -7603.52    1.4037835    297.14142    300.21428    4.8258879    24124.542    24124.542 0.00034526698    6288.8962    6389.5775    153.61924  0.036133859 
  780000   -7600.1564   -7601.0081    1.4104604    300.59846    297.29458     5.280687    24124.542    24124.542 0.00034526698    7087.9215    7042.9516    210.92719  0.036581614 
  785000   -7600.8878   -7603.5469    1.6663271    305.17532    300.92772    5.8101572    24124.542    24124.542 0.00034526698    6754.0464    6394.1783    133.72353  0.036539861 
  790000   -7602.8941   -7602.7066    1.5530766    305.12544    300.77337    6.2196217    24124.542    24124.542 0.00034526698    6366.7486    6674.4399     196.7997  0.034937587 
  795000   -7600.6585   -7601.9648    1.6322012    304.61943    301.40211    4.6674723    24124.542    24124.542 0.00034526698    6878.5414    6731.9381     210.0626   0.03571358 
  800000   -7600.9323   -7601.1297    1.4959351    297.41055    299.79052    5.5327309    24124.542    24124.542 0.00034526698    7095.9549    6929.2666     179.6595  0.036856951 
  805000   -7605.4438   -7603.1089    1.2789601    290.31188    299.74951     4.022444    24124.542    24124.542 0.00034526698    6388.3405    6529.4549    219.29494  0.035762603 
  810000   -7601.1754   -7601.3551    1.9020435    297.07329    301.67725    5.9946754    24124.542    24124.542 0.00034526698    7096.2699    6834.8475    241.39722  0.036284638 
  815000   -7603.9938   -7602.8705    2.3539496    295.19413    297.75346    5.8818396    24124.542    24124.542 0.00034526698    6424.4335    6621.4305    342.42825  0.034823117 
